year,ACCESS1-0_historical_r1i1p1-days_tmin_blw,bcc-csm1-1_historical_r1i1p1-days_tmin_blw,BNU-ESM_historical_r1i1p1-days_tmin_blw,CanESM2_historical_r1i1p1-days_tmin_blw,CCSM4_historical_r1i1p1-days_tmin_blw,CESM1-BGC_historical_r1i1p1-days_tmin_blw,CNRM-CM5_historical_r1i1p1-days_tmin_blw,CSIRO-Mk3-6-0_historical_r1i1p1-days_tmin_blw,GFDL-CM3_historical_r1i1p1-days_tmin_blw,GFDL-ESM2G_historical_r1i1p1-days_tmin_blw,GFDL-ESM2M_historical_r1i1p1-days_tmin_blw,inmcm4_historical_r1i1p1-days_tmin_blw,IPSL-CM5A-LR_historical_r1i1p1-days_tmin_blw,IPSL-CM5A-MR_historical_r1i1p1-days_tmin_blw,MIROC-ESM-CHEM_historical_r1i1p1-days_tmin_blw,MIROC-ESM_historical_r1i1p1-days_tmin_blw,MIROC5_historical_r1i1p1-days_tmin_blw,MPI-ESM-LR_historical_r1i1p1-days_tmin_blw,MPI-ESM-MR_historical_r1i1p1-days_tmin_blw,MRI-CGCM3_historical_r1i1p1-days_tmin_blw,NorESM1-M_historical_r1i1p1-days_tmin_blw
1950,113.43905,83.26706,110.68709,101.81478,109.34929,106.03164,110.05038,92.96441,105.77046,111.56184,119.67328,102.02994,97.53147,92.7318,109.47752,111.09829,94.68889,126.08548,105.9486,106.310745,75.92936
1951,78.02821,104.3164,89.90371,99.417366,97.15887,104.150475,110.41829,99.07484,115.27061,133.2504,108.59018,124.91792,118.109406,107.667465,94.87417,103.50157,101.08702,110.078896,126.21751,108.17217,92.03058
1952,102.94792,104.83676,111.79268,109.98807,120.739876,98.9735,97.58112,128.61427,104.49775,106.82627,96.74457,116.68565,99.361,97.517426,92.95337,81.2363,105.92316,92.04248,108.11739,97.29627,118.674355
1953,113.444916,92.10255,106.25119,99.423706,113.327965,106.01991,97.54776,81.525795,116.268684,127.882935,111.11148,94.58256,98.33873,103.58375,86.43161,95.13542,122.482086,107.99348,118.63962,112.27222,130.25557
1954,105.29345,105.74862,87.891846,88.06033,127.56189,138.86418,125.27262,112.02512,104.44067,111.30191,100.62064,112.07822,105.57426,103.08371,115.328026,89.08642,117.22611,118.04471,89.95147,95.38431,104.360214
1955,93.16047,100.85863,136.19348,93.69303,120.478386,122.23046,115.91845,113.8402,89.18531,111.82099,106.7371,122.29802,100.042595,119.341995,116.54577,95.50014,133.75195,119.70254,106.30116,103.572205,121.500114
1956,124.58298,97.556496,89.505,111.10709,92.63719,128.26292,127.763596,91.838684,114.58107,112.61364,84.07693,94.98427,104.01031,109.85398,97.82792,110.732,99.00745,126.12444,115.37659,110.24362,124.69887
1957,110.63847,86.90146,99.54033,101.95144,112.02157,87.281136,128.07275,96.63839,133.37384,97.06931,119.2287,122.56668,89.04306,87.986206,99.82247,100.79224,103.55674,90.11676,113.47583,93.06843,99.078674
1958,101.340965,131.95619,98.58359,112.58968,112.46186,112.84634,100.64959,122.34741,94.311775,104.03525,120.60137,103.38784,96.27047,83.776825,95.92382,95.982056,114.24845,98.90738,88.51332,109.6986,83.59265
1959,108.60549,127.387215,108.25447,107.63507,107.34221,112.31686,107.244545,105.61042,112.81744,106.0358,102.08649,125.36683,122.32265,122.890274,119.66888,106.21402,93.41276,124.51315,88.17335,86.27903,101.22005
1960,119.62988,84.0566,113.80115,81.020615,85.208725,99.61445,101.477715,108.01979,109.13561,113.92456,117.198135,98.49035,95.73034,118.59539,106.32588,81.666565,85.79169,100.78999,90.687965,117.94187,94.4202
1961,91.415726,65.5628,111.672806,96.959885,102.6856,121.418976,110.41389,102.625984,97.049324,112.6864,129.88858,102.39511,135.33182,123.033516,121.47388,112.01561,104.03332,109.25834,103.23579,112.91187,111.68817
1962,111.026146,124.33385,116.13065,124.71411,84.371635,122.460266,94.22282,108.324524,101.99701,108.77509,107.067474,105.46887,121.89451,122.10227,100.24453,114.36912,109.59728,96.86788,104.17052,101.01212,93.39564
1963,125.84801,111.67742,115.3497,121.76282,108.11041,112.081436,119.90971,94.40848,92.689896,94.6583,113.55269,102.72841,128.867,115.25756,110.1632,121.0022,112.29599,136.52025,114.81751,106.80593,91.439026
1964,124.26869,123.01019,112.207504,87.85921,119.72602,115.442184,103.146774,127.43664,109.58762,124.867775,84.560455,108.93121,138.75298,98.06349,102.868324,83.54822,117.255974,105.308945,97.67888,108.1389,66.62583
1965,117.98564,96.95747,135.77237,103.00272,130.11208,113.942474,109.1265,126.565186,116.834785,110.928635,108.541756,102.94424,122.20786,109.43249,103.44026,123.95239,102.058914,102.09603,109.75453,114.44863,131.00108
1966,99.98995,90.18477,113.14299,127.10277,117.07987,109.877655,82.28211,103.15387,131.72287,104.206795,136.66365,100.79727,88.071304,102.299324,99.21301,97.118,114.68184,100.97836,110.54871,100.75579,113.27092
1967,114.08266,95.08763,123.78584,124.82793,112.09463,82.84278,113.5061,111.731346,94.10074,110.64567,97.78525,85.77104,121.79317,114.9061,94.27294,109.750114,88.9159,108.60366,108.87823,93.85727,104.91142
1968,85.52889,101.586685,96.640594,118.36515,107.27696,115.27663,124.987274,104.36032,109.946625,123.37897,113.243034,90.56093,107.08603,125.90201,112.94886,138.71652,101.714714,122.103775,120.22703,106.49247,117.05006
1969,119.55009,102.71371,117.077545,124.67451,112.06094,118.866554,136.06596,95.53294,98.56513,111.64056,119.95287,93.39377,111.55949,107.826675,94.34322,107.13522,103.281456,118.43882,115.82118,69.90056,65.55085
1970,96.370186,119.21307,81.35517,115.61571,110.03151,107.17957,113.25935,97.23851,89.373314,89.45779,114.65967,106.00449,90.095215,122.896324,106.49945,100.19898,104.857735,115.60995,106.29731,117.0295,119.3141
1971,114.51727,98.28302,110.109634,109.04579,110.29812,96.52669,122.15566,107.4529,111.27943,101.16857,108.184,115.358055,110.39096,95.863846,125.95217,87.181656,120.90219,123.767204,115.14076,110.29732,133.46126
1972,108.65245,89.00074,102.62481,114.489456,95.63162,118.27639,101.84764,111.99988,107.21842,102.37917,115.41069,104.826485,96.97511,96.906494,110.54642,110.164406,87.05605,105.44711,104.84154,100.37872,93.83604
1973,97.30285,100.4672,86.74693,115.90534,98.94708,100.76718,109.661995,114.75925,106.401695,122.93555,123.38963,96.93222,107.74493,122.490654,93.992256,87.67518,93.46517,118.24952,99.88388,97.13101,110.2256
1974,88.44563,119.54741,110.67338,107.59938,59.48962,79.43327,105.10151,122.88956,110.62646,103.734726,110.50624,111.40602,117.719315,106.20919,113.20778,92.31352,113.55415,98.91145,118.1028,97.72832,99.05042
1975,112.50516,117.79984,107.18768,111.25668,86.67063,89.48302,80.01947,110.986725,110.8921,97.59121,108.28901,81.35151,110.66775,118.77987,126.80345,120.81854,127.97135,112.81125,125.818085,100.1626,83.43328
1976,107.435974,139.86005,63.49034,94.14026,102.978134,80.497604,126.04248,108.22903,113.336945,102.60811,82.696434,123.85703,91.067856,113.485596,93.84843,107.85477,116.99141,93.7222,123.86869,99.88104,124.18824
1977,120.74906,99.58745,92.93084,103.966995,111.85603,92.390526,104.686226,119.75665,94.91779,126.78644,107.95914,115.02634,107.22573,113.10913,83.8889,95.43671,116.69012,105.41866,108.98234,113.64438,136.40872
1978,127.93224,94.232735,98.186356,112.051254,91.68591,107.34462,111.309944,118.56446,104.91045,100.23178,113.57088,97.2009,107.00529,116.62314,107.032684,105.171875,97.216866,103.94715,100.135796,92.91952,96.135056
1979,82.45262,96.11284,91.49376,96.681625,122.313545,91.01196,123.57418,116.76316,103.84813,81.624954,112.81107,109.35816,85.85701,106.92557,107.39945,68.60317,94.76988,76.734245,108.284744,89.33345,99.0218
1980,105.275154,88.190834,109.0937,121.25594,131.47777,90.43364,105.23218,113.80384,108.21909,112.64022,118.39968,124.69516,100.39931,94.62441,89.8022,99.99386,94.727135,99.570854,92.640686,107.40717,108.5922
1981,117.118515,79.47762,101.29882,94.59865,105.25398,118.87061,66.01488,110.06563,103.350525,112.811424,109.65074,104.21613,105.92797,84.34911,99.14354,128.7802,94.33679,96.52243,103.126816,85.92175,78.996185
1982,101.11732,104.40519,98.95715,111.97557,96.53886,121.89339,87.88286,100.79341,112.383896,92.30216,116.53588,103.10288,92.375465,95.19011,79.67204,104.780556,111.56059,84.11066,102.72891,101.47508,84.99226
1983,105.995995,115.14043,116.88049,91.731606,121.50977,105.31888,108.68114,98.05128,90.17292,123.00013,121.44647,94.01439,111.83779,114.21763,95.073364,103.08394,106.30352,121.09832,78.36832,123.2778,97.62391
1984,72.80245,113.87544,110.215355,103.719795,115.567154,109.95326,101.12554,96.30311,105.8786,107.60964,112.7872,88.67224,114.07664,128.89244,73.540474,111.6722,94.36303,91.45602,89.56672,121.34007,101.49433
1985,130.34026,88.81532,94.10402,96.207115,108.38829,105.52384,96.3551,116.11209,106.99741,105.65898,104.27556,96.25034,108.146935,106.39183,96.626366,120.00593,95.142105,76.41482,105.27935,106.98721,98.776596
1986,96.04698,104.13192,87.218216,85.705605,73.996605,86.857605,129.23605,87.53119,99.69865,108.658875,80.99629,88.45143,110.201355,112.25623,99.45406,110.842125,79.705536,90.04503,104.26676,114.13913,124.77785
1987,112.64859,85.492294,118.58492,85.20107,113.48498,91.60467,98.42272,117.64028,95.793686,100.986916,93.40119,105.68567,85.704796,101.99376,95.179794,101.83135,91.27866,92.22473,97.57554,121.38942,98.12432
1988,83.26765,113.69486,102.08648,94.05628,125.10113,105.63889,104.855995,100.04852,124.984375,106.8879,118.4596,99.701836,92.33781,106.05279,119.34263,94.6347,107.97896,117.52608,91.574104,98.81956,100.203514
1989,88.74153,82.00722,94.75146,87.51543,97.0626,100.98748,91.10463,112.13992,86.76781,86.76852,121.137314,115.828674,92.589005,102.51991,108.96926,137.48068,91.03298,82.15223,112.09844,101.99914,91.75872
1990,94.19776,90.82737,85.91064,112.49775,105.95406,85.7807,123.92804,95.22265,126.00629,92.21507,92.136154,121.15338,101.771,77.253395,112.139725,116.187004,100.74785,76.275215,124.68663,117.30212,117.45769
1991,93.44984,89.06116,98.53041,85.09611,99.7633,112.51523,121.59171,92.788345,103.59392,99.53982,98.551796,109.649376,79.350784,89.50318,110.60441,61.832108,108.04734,127.94116,62.94927,87.47992,85.34502
1992,83.42019,106.78799,118.724335,108.03041,126.6407,125.76817,114.91571,110.730125,114.05195,122.14858,129.02368,127.74003,78.47944,112.00142,90.08956,97.947395,106.31928,100.40748,98.41043,106.25834,116.432
1993,102.163864,89.708466,102.73773,111.68733,127.221985,96.32382,95.21864,107.38352,112.44022,120.51448,110.04394,90.97508,86.639114,100.858315,101.16093,98.62989,116.97983,101.52997,116.576706,99.725105,111.15597
1994,107.28984,104.62511,91.052444,81.20575,101.91308,80.27804,87.32199,102.67634,119.374626,88.36532,97.497734,109.45241,104.52227,91.94433,108.56612,78.66375,108.5347,120.23523,121.594574,112.54955,109.53798
1995,101.19148,117.90593,117.76188,98.47943,85.13067,102.23119,110.240746,96.79777,98.60489,103.523056,85.13471,110.98369,117.75925,101.75726,108.941444,91.066925,92.29592,94.87836,85.28982,106.73585,104.148834
1996,79.65469,85.37337,105.48373,97.19075,72.5953,100.69337,89.89556,118.52151,114.11861,82.60058,104.29913,92.61743,91.01629,95.94189,119.33791,102.70698,103.52756,89.62594,99.35611,104.35408,124.10927
1997,73.994446,114.94933,102.06387,89.47872,97.74116,116.64729,107.97729,107.3489,104.274925,106.16683,101.95879,117.51193,75.89992,92.879776,83.60531,101.87771,109.576645,78.849625,114.228584,103.57888,93.67903
1998,96.965385,103.65201,88.82343,94.93341,82.85277,96.92357,103.99422,106.49915,97.83427,101.23133,95.688225,113.31323,112.51313,80.4335,90.98104,79.479744,93.61113,107.94681,104.90942,111.502365,86.3327
1999,82.266495,110.95944,84.31498,100.214905,97.599236,88.52134,83.970695,98.84563,111.16801,110.36446,89.1461,106.57678,85.88125,100.97809,111.89388,84.46331,94.04939,101.82906,91.585655,92.305176,84.32641
2000,76.24723,106.07275,105.748405,76.81874,88.99643,95.6979,101.714325,121.39424,119.15025,105.912964,91.5398,91.736275,93.32334,102.74906,105.83276,80.07875,114.93104,90.143394,89.926506,106.99262,109.06214
2001,114.46973,99.20042,108.27064,112.88348,99.055214,99.781624,82.58864,116.582275,112.4241,85.94466,91.82582,103.32708,92.12087,95.008766,106.9119,94.23751,112.22009,108.06241,67.092224,85.75694,80.24228
2002,87.34578,117.58758,85.090065,92.06059,120.58587,97.49279,100.49087,94.82594,109.276184,108.28003,107.63865,106.72938,95.853065,92.46835,95.86677,94.63935,80.41744,76.44175,106.19913,95.05715,96.19928
2003,115.7077,105.11968,80.26603,114.065605,78.0619,104.92999,55.328396,107.7128,114.09883,93.14196,112.47825,85.94227,85.18474,116.7619,99.39854,111.61341,92.77291,105.815674,86.86039,107.34115,104.68654
2004,106.904045,109.92883,85.88788,98.999725,101.157394,111.24939,100.23127,94.0539,104.93451,72.18682,87.06266,111.36425,110.45062,117.93624,88.79473,107.22176,98.04167,121.22856,90.37757,90.04322,113.519424
