month,2025rcp45_max,2025rcp45_median,2025rcp45_min,2025rcp45_p10,2025rcp45_p90,2025rcp85_max,2025rcp85_median,2025rcp85_min,2025rcp85_p10,2025rcp85_p90,2050rcp45_max,2050rcp45_median,2050rcp45_min,2050rcp45_p10,2050rcp45_p90,2050rcp85_max,2050rcp85_median,2050rcp85_min,2050rcp85_p10,2050rcp85_p90,2075rcp45_max,2075rcp45_median,2075rcp45_min,2075rcp45_p10,2075rcp45_p90,2075rcp85_max,2075rcp85_median,2075rcp85_min,2075rcp85_p10,2075rcp85_p90
1,6.625,3.299,0.906,1.843,5.107,7.023,3.259,1.109,1.684,5.124,7.074,3.479,0.816,1.722,5.481,7.616,3.231,1.070,1.764,5.464,6.895,3.385,0.961,1.801,5.408,7.720,3.435,1.163,1.770,5.772
2,7.309,3.485,1.172,2.008,5.713,7.127,3.651,1.149,1.912,5.825,8.306,3.812,1.229,2.033,6.561,8.411,4.191,1.006,2.132,6.349,8.325,3.974,1.253,2.094,6.308,8.644,4.003,0.998,2.010,6.615
3,8.495,4.156,1.385,2.427,6.280,7.897,4.169,1.441,2.524,6.256,8.284,4.260,1.452,2.491,6.625,8.854,4.182,1.781,2.633,6.991,8.444,4.209,1.424,2.536,6.341,8.958,4.583,1.590,2.637,6.938
4,6.890,3.550,1.088,1.999,5.294,7.105,3.572,1.282,2.074,5.610,7.245,3.550,1.155,1.908,5.670,7.244,3.515,1.267,2.020,5.533,7.164,3.702,1.228,2.159,5.723,7.996,3.533,1.257,1.966,5.929
5,7.163,3.364,1.411,1.951,5.515,6.876,3.518,1.376,2.039,5.195,6.779,3.477,1.206,1.978,5.280,7.146,3.483,1.203,1.958,5.245,6.620,3.479,1.252,2.026,5.405,7.270,3.436,1.150,1.906,5.496
6,6.902,3.722,1.446,2.242,5.730,7.109,3.759,1.402,2.084,5.538,7.166,3.680,1.417,2.099,5.735,7.350,3.709,1.359,2.110,5.507,6.997,3.867,1.465,2.383,5.365,7.037,3.656,1.400,2.423,5.338
7,6.887,4.001,1.874,2.572,5.584,7.267,3.842,1.349,2.447,5.674,7.208,3.996,1.437,2.352,5.720,7.072,3.788,1.626,2.522,6.098,7.526,4.133,1.537,2.551,5.949,8.010,4.031,1.496,2.377,5.919
8,7.398,3.570,1.325,2.150,5.653,7.160,3.405,1.398,2.051,5.483,7.938,3.422,1.250,2.104,5.496,7.968,3.326,1.459,2.099,5.761,7.581,3.491,1.407,2.048,5.562,7.020,3.675,1.268,2.182,5.448
9,8.369,3.582,0.918,1.541,6.190,9.204,3.300,0.868,1.712,6.072,9.139,3.339,0.891,1.695,6.243,8.797,3.608,1.004,1.733,6.611,8.776,3.656,0.856,1.768,6.578,10.116,3.782,1.028,1.896,6.236
10,7.603,2.954,0.558,1.230,5.229,7.575,2.739,0.476,1.092,5.344,7.883,2.854,0.543,1.286,5.612,7.729,2.862,0.443,1.187,5.256,7.199,3.085,0.548,1.472,5.233,7.700,3.007,0.459,1.135,5.402
11,6.357,2.855,0.715,1.464,4.671,6.340,3.004,0.917,1.497,5.048,6.328,2.892,0.844,1.566,4.978,6.102,3.013,0.788,1.536,5.043,6.591,3.036,0.639,1.520,4.867,6.417,2.816,0.773,1.583,5.379
12,6.628,3.245,1.047,1.904,4.868,6.694,3.159,1.097,1.683,5.069,6.715,3.201,1.025,1.728,5.062,6.822,3.020,0.928,1.646,5.177,6.786,3.210,1.027,1.746,5.307,7.211,3.314,0.916,1.835,5.485
